,CustomerID,Age,Gender,Region,SatisfactionScore
58,CUST1058,42.0,Female,,3.0
59,CUST1059,66.0,Male,North,2.0
60,CUST1060,68.0,Female,,2.0
61,CUST1061,29.0,Male,East,1.0
62,CUST1062,19.0,Male,North,2.0
63,CUST1063,53.0,Female,North,4.0
64,CUST1064,66.0,Male,East,4.0
65,CUST1065,49.0,Female,,3.0
66,CUST1066,42.0,Female,East,1.0
67,CUST1067,54.0,Male,East,3.0
68,CUST1068,37.0,Male,South,1.0
69,CUST1069,61.0,Male,East,3.0
70,CUST1070,36.0,Female,South,3.0
71,CUST1071,27.0,Male,North,1.0
72,CUST1072,60.0,Female,East,4.0
73,CUST1073,56.0,Female,,2.0
74,CUST1074,31.0,Female,North,1.0
75,CUST1075,31.0,Female,East,3.0
76,CUST1076,54.0,Male,East,3.0
77,CUST1077,53.0,Male,South,4.0
78,CUST1078,23.0,Female,North,4.0
79,CUST1079,43.0,Male,North,3.0
80,CUST1080,53.0,Male,East,4.0
81,CUST1081,35.0,Female,South,4.0
82,CUST1082,68.0,Other,,5.0
83,CUST1083,19.0,Female,East,4.0
84,CUST1084,39.0,Male,North,5.0
85,CUST1085,63.0,Other,East,3.0
86,CUST1086,69.0,Male,North,4.0
87,CUST1087,51.0,Male,North,4.0
88,CUST1088,34.0,Female,,3.0
89,CUST1089,47.0,Female,East,3.0
90,CUST1090,69.0,Female,South,2.0
91,CUST1091,45.0,Other,North,4.0
92,CUST1092,56.0,Female,North,3.0
93,CUST1093,57.0,Other,North,2.0
94,CUST1094,22.0,Female,South,3.0
95,CUST1095,63.0,Male,North,2.0
96,CUST1096,34.0,Female,South,4.0
97,CUST1097,56.0,Male,,1.0
98,CUST1098,27.0,Male,,5.0
99,CUST1099,64.0,Female,South,3.0
100,CUST1100,28.0,Male,South,3.0
101,CUST1101,65.0,Female,,3.0
102,CUST1102,67.0,Female,North,3.0
103,CUST1103,24.0,Male,North,4.0
104,CUST1104,51.0,Female,,2.0
105,CUST1105,40.0,Male,,1.0
106,CUST1106,64.0,Female,South,4.0
107,CUST1107,37.0,Male,North,2.0
108,CUST1108,20.0,Other,North,2.0
109,CUST1109,38.0,Female,North,3.0
110,CUST1110,43.0,Male,East,4.0
111,CUST1111,58.0,Male,North,3.0
112,CUST1112,31.0,Male,,1.0
113,CUST1113,56.0,Other,North,1.0
114,CUST1114,48.0,Male,East,3.0
115,CUST1115,61.0,Female,South,3.0
116,CUST1116,18.0,Female,,2.0
117,CUST1117,19.0,Male,North,5.0
118,CUST1118,42.0,Other,South,4.0
119,CUST1119,45.0,Other,North,3.0
120,CUST1120,47.0,Male,East,4.0
121,CUST1121,36.0,Female,North,3.0
122,CUST1122,22.0,Male,East,1.0
123,CUST1123,44.0,Female,,3.0
124,CUST1124,37.0,Female,South,1.0
125,CUST1125,54.0,Female,East,2.0
126,CUST1126,48.0,Male,,4.0
127,CUST1127,23.0,Female,East,1.0
128,CUST1128,20.0,Other,South,5.0
129,CUST1129,55.0,Female,East,1.0
130,CUST1130,59.0,Other,North,3.0
131,CUST1131,47.0,Male,South,1.0
132,CUST1132,26.0,Male,East,3.0
133,CUST1133,62.0,Male,,1.0
134,CUST1134,27.0,Female,North,3.0
135,CUST1135,60.0,Male,North,3.0
136,CUST1136,28.0,Female,East,3.0
137,CUST1137,39.0,Female,North,3.0
138,CUST1138,53.0,Other,,3.0
139,CUST1139,23.0,Female,South,2.0
140,CUST1140,59.0,Other,,3.0
141,CUST1141,56.0,Male,,4.0
142,CUST1142,23.0,Male,South,3.0
143,CUST1143,21.0,Male,South,2.0
144,CUST1144,26.0,Male,,3.0
145,CUST1145,59.0,Male,North,1.0
146,CUST1146,22.0,Female,North,2.0
147,CUST1147,19.0,Female,East,4.0
148,CUST1148,61.0,Female,East,3.0
149,CUST1149,40.0,Male,North,5.0
150,CUST1150,28.0,Male,North,4.0
151,CUST1151,22.0,Male,East,2.0
152,CUST1152,22.0,Female,North,5.0
153,CUST1153,60.0,Female,South,3.0
154,CUST1154,37.0,Male,East,1.0
155,CUST1155,23.0,Male,North,3.0
156,CUST1156,52.0,Male,South,4.0
157,CUST1157,18.0,Male,East,4.0
158,CUST1158,41.0,Male,North,3.0
159,CUST1159,23.0,Female,,1.0
160,CUST1160,69.0,Male,,3.0
161,CUST1161,60.0,Other,South,3.0
162,CUST1162,43.0,Female,,3.0
163,CUST1163,45.0,Other,South,1.0
164,CUST1164,57.0,Male,East,5.0
165,CUST1165,26.0,Female,South,4.0
166,CUST1166,19.0,Male,East,3.0
167,CUST1167,63.0,Male,North,1.0
168,CUST1168,27.0,Female,South,3.0
169,CUST1169,54.0,Female,South,4.0
170,CUST1170,64.0,Female,East,2.0
171,CUST1171,51.0,Female,North,2.0
172,CUST1172,29.0,Female,North,2.0
173,CUST1173,28.0,Male,,4.0
174,CUST1174,32.0,Male,North,2.0
175,CUST1175,30.0,Female,South,2.0
176,CUST1176,38.0,Female,North,4.0
177,CUST1177,19.0,Male,East,3.0
178,CUST1178,27.0,Female,North,1.0
179,CUST1179,34.0,Male,North,3.0
180,CUST1180,32.0,Male,East,3.0
181,CUST1181,23.0,Female,East,5.0
182,CUST1182,55.0,Other,North,3.0
183,CUST1183,22.0,Male,East,2.0
184,CUST1184,22.0,Other,North,1.0
185,CUST1185,58.0,Female,North,3.0
186,CUST1186,43.0,Female,East,3.0
187,CUST1187,52.0,Other,South,1.0
188,CUST1188,61.0,Male,South,4.0
189,CUST1189,50.0,Female,North,2.0
190,CUST1190,60.0,Other,,3.0
191,CUST1191,63.0,Male,South,3.0
192,CUST1192,43.0,Female,North,3.0
193,CUST1193,22.0,Female,North,3.0
194,CUST1194,36.0,Male,South,4.0
195,CUST1195,55.0,Female,South,1.0
196,CUST1196,50.0,Female,South,5.0
197,CUST1197,64.0,Male,North,3.0
198,CUST1198,18.0,Male,South,1.0
199,CUST1199,63.0,Male,South,4.0
200,CUST1200,59.0,Female,East,3.0
201,CUST1201,28.0,Other,East,5.0
202,CUST1202,34.0,Male,East,4.0
203,CUST1203,47.0,Female,South,3.0
204,CUST1204,56.0,Male,North,2.0
205,CUST1205,46.0,Female,South,5.0
206,CUST1206,47.0,Female,South,3.0
207,CUST1207,39.0,Female,,3.0
208,CUST1208,24.0,Other,South,3.0
209,CUST1209,18.0,Female,,1.0
210,CUST1210,24.0,Male,East,1.0
211,CUST1211,40.0,Female,South,3.0
212,CUST1212,43.0,Male,South,1.0
213,CUST1213,31.0,Male,South,3.0
214,CUST1214,39.0,Male,North,3.0
215,CUST1215,39.0,Female,,4.0
216,CUST1216,43.0,Female,East,5.0
217,CUST1217,21.0,Male,East,4.0
218,CUST1218,51.0,Female,South,1.0
219,CUST1219,56.0,Male,North,2.0
220,CUST1220,63.0,Female,,1.0
221,CUST1221,33.0,Male,East,3.0
222,CUST1222,63.0,Female,North,5.0
223,CUST1223,41.0,Female,South,3.0
224,CUST1224,41.0,Female,East,1.0
225,CUST1225,36.0,Female,North,4.0
226,CUST1226,61.0,Male,East,5.0
227,CUST1227,42.0,Male,East,3.0
228,CUST1228,61.0,Male,East,2.0
229,CUST1229,36.0,Female,East,2.0
230,CUST1230,32.0,Female,East,1.0
231,CUST1231,33.0,Female,South,3.0
232,CUST1232,45.0,Female,North,4.0
233,CUST1233,33.0,Other,East,4.0
234,CUST1234,44.0,Male,,1.0
235,CUST1235,33.0,Male,South,3.0
236,CUST1236,58.0,Male,East,3.0
237,CUST1237,43.0,Female,North,1.0
238,CUST1238,41.0,Male,,3.0
239,CUST1239,66.0,Female,East,5.0
240,CUST1240,20.0,Male,North,3.0
241,CUST1241,22.0,Other,,2.0
242,CUST1242,43.0,Female,South,3.0
243,CUST1243,43.0,Male,North,2.0
244,CUST1244,58.0,Male,North,4.0
245,CUST1245,49.0,Male,North,2.0
246,CUST1246,36.0,Male,South,3.0
247,CUST1247,61.0,Male,North,3.0
248,CUST1248,36.0,Female,South,4.0
249,CUST1249,39.0,Female,,1.0
250,CUST1250,31.0,Male,North,1.0
251,CUST1251,67.0,Female,North,2.0
252,CUST1252,57.0,Female,South,1.0
253,CUST1253,68.0,Female,North,1.0
254,CUST1254,24.0,Other,North,1.0
255,CUST1255,66.0,Female,South,3.0
256,CUST1256,54.0,Female,,1.0
257,CUST1257,37.0,Male,East,2.0
258,CUST1258,38.0,Male,North,3.0
259,CUST1259,23.0,Male,South,3.0
260,CUST1260,23.0,Female,North,2.0
261,CUST1261,36.0,Male,East,5.0
262,CUST1262,60.0,Male,East,2.0
263,CUST1263,63.0,Male,South,2.0
264,CUST1264,50.0,Male,,1.0
265,CUST1265,43.0,Male,North,3.0
266,CUST1266,36.0,Female,North,3.0
267,CUST1267,55.0,Male,East,3.0
268,CUST1268,18.0,Male,North,4.0
269,CUST1269,26.0,Male,East,3.0
270,CUST1270,41.0,Male,North,4.0
271,CUST1271,64.0,Female,East,1.0
272,CUST1272,59.0,Female,South,1.0
273,CUST1273,21.0,Female,East,3.0
274,CUST1274,66.0,Female,East,2.0
275,CUST1275,52.0,Male,East,3.0
276,CUST1276,41.0,Female,North,3.0
277,CUST1277,38.0,Male,East,5.0
278,CUST1278,61.0,Female,East,5.0
279,CUST1279,68.0,Female,East,4.0
280,CUST1280,22.0,Male,South,3.0
281,CUST1281,40.0,Other,,3.0
282,CUST1282,31.0,Female,South,2.0
283,CUST1283,62.0,Other,East,5.0
284,CUST1284,26.0,Female,South,2.0
285,CUST1285,69.0,Female,North,3.0
286,CUST1286,43.0,Male,South,3.0
287,CUST1287,62.0,Male,East,4.0
288,CUST1288,62.0,Male,South,3.0
289,CUST1289,26.0,Female,North,5.0
290,CUST1290,46.0,Other,North,3.0
291,CUST1291,32.0,Male,North,1.0
292,CUST1292,43.0,Female,,3.0
293,CUST1293,62.0,Male,North,2.0
294,CUST1294,32.0,Female,North,4.0
295,CUST1295,56.0,Male,,4.0
296,CUST1296,27.0,Male,East,4.0
297,CUST1297,53.0,Male,South,1.0
298,CUST1298,32.0,Female,East,3.0
299,CUST1299,28.0,Other,South,3.0
300,CUST1300,24.0,Male,South,1.0
301,CUST1301,37.0,Male,North,3.0
302,CUST1302,48.0,Female,North,5.0
303,CUST1303,20.0,Male,,3.0
304,CUST1304,28.0,Female,South,1.0
305,CUST1305,48.0,Female,North,3.0
306,CUST1306,68.0,Male,North,4.0
307,CUST1307,29.0,Male,East,3.0
308,CUST1308,47.0,Male,South,4.0
309,CUST1309,58.0,Female,North,3.0
310,CUST1310,35.0,Male,South,4.0
311,CUST1311,18.0,Female,North,2.0
312,CUST1312,55.0,Male,East,4.0
313,CUST1313,68.0,Female,South,3.0
314,CUST1314,64.0,Male,East,2.0
315,CUST1315,65.0,Male,East,2.0
316,CUST1316,49.0,Male,North,3.0
317,CUST1317,39.0,Male,East,2.0
318,CUST1318,18.0,Female,,2.0
319,CUST1319,36.0,Male,North,3.0
320,CUST1320,31.0,Male,East,4.0
321,CUST1321,57.0,Male,North,2.0
322,CUST1322,59.0,Female,South,2.0
323,CUST1323,47.0,Female,,4.0
324,CUST1324,19.0,Female,North,4.0
325,CUST1325,69.0,Female,East,4.0
326,CUST1326,65.0,Male,North,3.0
327,CUST1327,62.0,Female,East,1.0
328,CUST1328,50.0,Female,North,3.0
329,CUST1329,66.0,Female,South,3.0
330,CUST1330,60.0,Other,South,5.0
331,CUST1331,52.0,Female,North,3.0
332,CUST1332,49.0,Other,North,1.0
333,CUST1333,43.0,Female,North,2.0
334,CUST1334,25.0,Other,East,1.0
335,CUST1335,22.0,Male,North,3.0
336,CUST1336,61.0,Female,South,1.0
337,CUST1337,23.0,Male,East,5.0
338,CUST1338,52.0,Female,North,2.0
339,CUST1339,32.0,Female,East,3.0
340,CUST1340,42.0,Male,,4.0
341,CUST1341,51.0,Female,North,1.0
342,CUST1342,51.0,Female,,2.0
343,CUST1343,25.0,Other,East,5.0
344,CUST1344,33.0,Female,North,1.0
345,CUST1345,24.0,Male,South,1.0
346,CUST1346,63.0,Male,East,5.0
347,CUST1347,29.0,Male,East,2.0
348,CUST1348,49.0,Male,East,4.0
349,CUST1349,26.0,Female,,3.0
350,CUST1350,39.0,Female,East,2.0
351,CUST1351,31.0,Female,East,4.0
352,CUST1352,30.0,Male,North,2.0
353,CUST1353,28.0,Female,East,3.0
354,CUST1354,42.0,Female,South,1.0
355,CUST1355,64.0,Male,East,2.0
356,CUST1356,66.0,Male,East,4.0
357,CUST1357,50.0,Female,,3.0
358,CUST1358,33.0,Female,North,3.0
359,CUST1359,19.0,Female,,3.0
360,CUST1360,42.0,Male,North,1.0
361,CUST1361,24.0,Female,North,3.0
362,CUST1362,43.0,Male,,1.0
363,CUST1363,30.0,Other,East,3.0
364,CUST1364,47.0,Male,South,3.0
365,CUST1365,43.0,Male,,4.0
366,CUST1366,31.0,Female,,2.0
367,CUST1367,59.0,Female,North,3.0
368,CUST1368,36.0,Female,,3.0
369,CUST1369,43.0,Male,,2.0
370,CUST1370,47.0,Male,East,4.0
371,CUST1371,55.0,Male,South,3.0
372,CUST1372,29.0,Female,,3.0
373,CUST1373,46.0,Female,East,1.0
374,CUST1374,51.0,Female,,1.0
375,CUST1375,56.0,Female,East,3.0
376,CUST1376,60.0,Female,South,2.0
377,CUST1377,62.0,Female,North,2.0
378,CUST1378,67.0,Male,,3.0
379,CUST1379,29.0,Female,East,2.0
380,CUST1380,43.0,Female,East,3.0
381,CUST1381,33.0,Female,East,4.0
382,CUST1382,55.0,Male,South,5.0
383,CUST1383,37.0,Female,,4.0
384,CUST1384,56.0,Female,,3.0
385,CUST1385,39.0,Male,East,1.0
386,CUST1386,57.0,Female,East,3.0
387,CUST1387,23.0,Male,East,3.0
388,CUST1388,48.0,Male,North,4.0
389,CUST1389,28.0,Other,South,3.0
390,CUST1390,28.0,Female,East,1.0
391,CUST1391,68.0,Male,,2.0
392,CUST1392,69.0,Male,East,1.0
393,CUST1393,43.0,Female,North,1.0
394,CUST1394,43.0,Female,North,1.0
395,CUST1395,60.0,Female,South,3.0
396,CUST1396,55.0,Female,East,1.0
397,CUST1397,43.0,Female,North,5.0
398,CUST1398,40.0,Male,South,3.0
399,CUST1399,52.0,Other,South,1.0
400,CUST1400,36.0,Male,,2.0
401,CUST1401,32.0,Male,South,2.0
402,CUST1402,64.0,Female,North,3.0
403,CUST1403,46.0,Female,,3.0
404,CUST1404,24.0,Male,North,4.0
405,CUST1405,20.0,Male,North,3.0
406,CUST1406,49.0,Male,East,4.0
407,CUST1407,26.0,Female,East,2.0
408,CUST1408,39.0,Male,North,3.0
409,CUST1409,35.0,Male,East,2.0
410,CUST1410,34.0,Male,South,4.0
411,CUST1411,43.0,Male,North,3.0
412,CUST1412,25.0,Male,East,1.0
413,CUST1413,24.0,Male,East,1.0
414,CUST1414,57.0,Female,,3.0
415,CUST1415,54.0,Male,North,3.0
416,CUST1416,36.0,Female,,5.0
417,CUST1417,41.0,Male,,2.0
418,CUST1418,37.0,Female,South,4.0
419,CUST1419,56.0,Male,East,3.0
420,CUST1420,18.0,Female,South,3.0
421,CUST1421,18.0,Male,North,3.0
422,CUST1422,51.0,Other,North,5.0
423,CUST1423,65.0,Male,,5.0
424,CUST1424,28.0,Male,,3.0
425,CUST1425,29.0,Female,North,3.0
426,CUST1426,40.0,Male,South,4.0
427,CUST1427,43.0,Other,South,5.0
428,CUST1428,42.0,Female,North,1.0
429,CUST1429,63.0,Male,North,5.0
430,CUST1430,34.0,Male,,3.0
431,CUST1431,45.0,Other,South,3.0
432,CUST1432,21.0,Male,North,4.0
433,CUST1433,19.0,Female,North,3.0
434,CUST1434,23.0,Female,East,2.0
435,CUST1435,41.0,Female,,3.0
436,CUST1436,19.0,Male,South,2.0
437,CUST1437,26.0,Male,South,3.0
438,CUST1438,59.0,Female,South,4.0
439,CUST1439,25.0,Male,,2.0
440,CUST1440,28.0,Male,South,2.0
441,CUST1441,62.0,Male,North,4.0
442,CUST1442,69.0,Male,South,3.0
443,CUST1443,62.0,Male,,3.0
444,CUST1444,53.0,Female,North,1.0
445,CUST1445,56.0,Male,South,3.0
446,CUST1446,32.0,Female,South,4.0
447,CUST1447,48.0,Female,South,5.0
448,CUST1448,59.0,Male,South,1.0
449,CUST1449,34.0,Male,South,3.0
450,CUST1450,40.0,Male,North,2.0
451,CUST1451,23.0,Other,North,5.0
452,CUST1452,56.0,Female,North,3.0
453,CUST1453,53.0,Female,North,2.0
454,CUST1454,18.0,Male,,3.0
455,CUST1455,59.0,Male,,4.0
456,CUST1456,18.0,Male,South,2.0
457,CUST1457,41.0,Male,North,1.0
458,CUST1458,63.0,Female,North,3.0
459,CUST1459,38.0,Male,East,2.0
460,CUST1460,26.0,Female,North,2.0
461,CUST1461,63.0,Female,North,3.0
462,CUST1462,19.0,Male,North,5.0
463,CUST1463,58.0,Other,South,4.0
464,CUST1464,29.0,Other,South,5.0
465,CUST1465,30.0,Female,East,3.0
466,CUST1466,33.0,Female,South,3.0
467,CUST1467,55.0,Female,South,2.0
468,CUST1468,38.0,Male,South,5.0
469,CUST1469,39.0,Male,,3.0
470,CUST1470,61.0,Female,North,4.0
471,CUST1471,67.0,Female,North,1.0
472,CUST1472,27.0,Male,South,2.0
473,CUST1473,29.0,Male,East,2.0
474,CUST1474,60.0,Female,North,4.0
475,CUST1475,53.0,Female,East,3.0
476,CUST1476,46.0,Female,South,3.0
477,CUST1477,21.0,Female,East,5.0
478,CUST1478,54.0,Male,North,4.0
479,CUST1479,22.0,Female,South,2.0
480,CUST1480,36.0,Male,,5.0
481,CUST1481,53.0,Female,South,4.0
482,CUST1482,39.0,Female,South,2.0
483,CUST1483,60.0,Male,North,1.0
484,CUST1484,19.0,Female,North,1.0
485,CUST1485,38.0,Male,,1.0
486,CUST1486,62.0,Female,South,3.0
487,CUST1487,30.0,Female,South,2.0
488,CUST1488,57.0,Other,South,4.0
489,CUST1489,43.0,Other,South,2.0
490,CUST1490,50.0,Male,South,5.0
491,CUST1491,35.0,Other,South,4.0
492,CUST1492,43.0,Male,South,1.0
493,CUST1493,68.0,Male,East,1.0
494,CUST1494,24.0,Male,North,3.0
495,CUST1495,37.0,Male,North,3.0
496,CUST1496,39.0,Female,,2.0
497,CUST1497,43.0,Female,East,1.0
498,CUST1498,61.0,Male,East,4.0
499,CUST1499,36.0,Male,,3.0
500,CUST1500,54.0,Male,South,1.0
501,CUST1501,37.0,Female,East,4.0
502,CUST1502,37.0,Female,South,5.0
503,CUST1503,53.0,Male,North,3.0
504,CUST1504,43.0,Male,North,3.0
505,CUST1505,41.0,Female,South,3.0
506,CUST1506,69.0,Female,,3.0
507,CUST1507,43.0,Other,South,3.0
508,CUST1508,57.0,Male,South,5.0
509,CUST1509,25.0,Male,South,2.0
510,CUST1510,57.0,Female,South,3.0
511,CUST1511,35.0,Male,South,5.0
512,CUST1512,49.0,Male,,3.0
513,CUST1513,23.0,Male,East,3.0
514,CUST1514,56.0,Male,South,4.0
515,CUST1515,29.0,Female,East,4.0
516,CUST1516,57.0,Male,South,2.0
517,CUST1517,24.0,Other,,5.0
518,CUST1518,58.0,Male,East,5.0
519,CUST1519,69.0,Male,South,3.0
520,CUST1520,36.0,Female,South,4.0
521,CUST1521,27.0,Male,East,1.0
522,CUST1522,68.0,Female,East,3.0
523,CUST1523,38.0,Female,East,4.0
524,CUST1524,58.0,Female,,5.0
525,CUST1525,30.0,Male,North,2.0
526,CUST1526,68.0,Male,,2.0
527,CUST1527,63.0,Female,,3.0
528,CUST1528,43.0,Female,North,4.0
529,CUST1529,30.0,Female,,3.0
530,CUST1530,68.0,Other,,5.0
531,CUST1531,25.0,Male,South,2.0
532,CUST1532,44.0,Male,North,4.0
533,CUST1533,19.0,Other,East,1.0
534,CUST1534,43.0,Female,South,4.0
535,CUST1535,56.0,Male,South,3.0
536,CUST1536,42.0,Female,East,4.0
537,CUST1537,22.0,Female,,3.0
538,CUST1538,39.0,Female,East,2.0
539,CUST1539,20.0,Female,South,3.0
540,CUST1540,21.0,Other,North,1.0
541,CUST1541,41.0,Female,East,3.0
542,CUST1542,53.0,Female,South,4.0
543,CUST1543,57.0,Male,East,5.0
544,CUST1544,26.0,Male,,5.0
545,CUST1545,37.0,Female,South,4.0
546,CUST1546,46.0,Male,South,3.0
547,CUST1547,45.0,Male,North,2.0
548,CUST1548,39.0,Male,North,3.0
549,CUST1549,19.0,Male,South,5.0
550,CUST1550,52.0,Male,East,2.0
551,CUST1551,60.0,Male,South,3.0
552,CUST1552,55.0,Male,North,4.0
553,CUST1553,69.0,Male,East,2.0
554,CUST1554,42.0,Male,South,3.0
555,CUST1555,19.0,Female,East,1.0
556,CUST1556,36.0,Female,East,4.0
557,CUST1557,41.0,Other,South,4.0
558,CUST1558,36.0,Male,North,4.0
559,CUST1559,59.0,Male,South,2.0
560,CUST1560,38.0,Female,East,4.0
561,CUST1561,64.0,Male,East,3.0
562,CUST1562,51.0,Male,South,2.0
563,CUST1563,32.0,Male,,2.0
564,CUST1564,20.0,Female,South,3.0
565,CUST1565,31.0,Male,North,2.0
566,CUST1566,39.0,Male,South,3.0
567,CUST1567,46.0,Female,East,3.0
568,CUST1568,43.0,Female,South,3.0
569,CUST1569,18.0,Female,South,5.0
570,CUST1570,62.0,Female,North,3.0
571,CUST1571,64.0,Female,East,3.0
572,CUST1572,61.0,Male,North,3.0
573,CUST1573,56.0,Male,North,1.0
574,CUST1574,25.0,Male,North,3.0
575,CUST1575,19.0,Female,East,1.0
576,CUST1576,61.0,Female,South,1.0
577,CUST1577,43.0,Female,,2.0
578,CUST1578,18.0,Female,East,3.0
579,CUST1579,60.0,Female,South,3.0
580,CUST1580,53.0,Male,South,3.0
581,CUST1581,50.0,Female,East,4.0
582,CUST1582,31.0,Male,South,3.0
583,CUST1583,20.0,Male,East,2.0
584,CUST1584,46.0,Male,,3.0
585,CUST1585,63.0,Male,North,3.0
586,CUST1586,35.0,Male,South,1.0
587,CUST1587,21.0,Female,South,3.0
588,CUST1588,23.0,Female,South,2.0
589,CUST1589,46.0,Male,South,3.0
590,CUST1590,48.0,Female,North,2.0
591,CUST1591,18.0,Male,South,3.0
592,CUST1592,63.0,Female,,3.0
593,CUST1593,69.0,Female,,3.0
594,CUST1594,50.0,Male,East,1.0
595,CUST1595,20.0,Female,South,5.0
596,CUST1596,67.0,Female,North,3.0
597,CUST1597,42.0,Female,South,4.0
598,CUST1598,55.0,Female,,4.0
599,CUST1599,35.0,Female,East,1.0
600,CUST1600,27.0,Male,East,5.0
601,CUST1601,64.0,Female,South,4.0
602,CUST1602,26.0,Male,North,3.0
603,CUST1603,30.0,Female,East,1.0
604,CUST1604,22.0,Male,South,5.0
605,CUST1605,69.0,Female,,5.0
606,CUST1606,43.0,Male,,1.0
607,CUST1607,20.0,Female,South,3.0
608,CUST1608,20.0,Male,North,1.0
609,CUST1609,39.0,Female,North,1.0
610,CUST1610,60.0,Male,,2.0
611,CUST1611,62.0,Female,East,2.0
612,CUST1612,54.0,Male,South,3.0
613,CUST1613,22.0,Female,East,3.0
614,CUST1614,30.0,Female,South,3.0
615,CUST1615,51.0,Male,North,2.0
616,CUST1616,43.0,Female,South,5.0
617,CUST1617,46.0,Female,South,3.0
618,CUST1618,56.0,Male,North,4.0
619,CUST1619,20.0,Female,North,5.0
620,CUST1620,21.0,Other,North,4.0
621,CUST1621,26.0,Male,South,4.0
622,CUST1622,34.0,Male,East,3.0
623,CUST1623,29.0,Other,,3.0
624,CUST1624,52.0,Other,North,3.0
625,CUST1625,24.0,Other,North,3.0
626,CUST1626,36.0,Female,South,4.0
627,CUST1627,46.0,Female,,1.0
628,CUST1628,55.0,Male,North,2.0
629,CUST1629,21.0,Male,South,4.0
630,CUST1630,22.0,Female,North,1.0
631,CUST1631,31.0,Other,East,3.0
632,CUST1632,20.0,Male,East,3.0
633,CUST1633,19.0,Male,North,5.0
634,CUST1634,21.0,Female,East,4.0
635,CUST1635,30.0,Other,,3.0
636,CUST1636,29.0,Other,South,2.0
637,CUST1637,25.0,Female,South,1.0
638,CUST1638,67.0,Female,East,1.0
639,CUST1639,64.0,Male,South,2.0
640,CUST1640,34.0,Other,South,1.0
641,CUST1641,24.0,Male,South,3.0
642,CUST1642,28.0,Female,,4.0
643,CUST1643,45.0,Male,South,2.0
644,CUST1644,65.0,Female,North,4.0
645,CUST1645,22.0,Female,South,3.0
646,CUST1646,44.0,Female,,3.0
647,CUST1647,42.0,Male,North,2.0
648,CUST1648,67.0,Male,South,3.0
649,CUST1649,57.0,Female,East,1.0
650,CUST1650,68.0,Female,South,4.0
651,CUST1651,41.0,Female,North,2.0
652,CUST1652,31.0,Male,East,2.0
653,CUST1653,56.0,Male,South,2.0
654,CUST1654,48.0,Female,East,1.0
655,CUST1655,26.0,Female,,2.0
656,CUST1656,46.0,Male,North,4.0
657,CUST1657,50.0,Male,North,2.0
658,CUST1658,53.0,Male,North,1.0
659,CUST1659,27.0,Male,,4.0
660,CUST1660,51.0,Male,East,3.0
661,CUST1661,61.0,Male,East,4.0
662,CUST1662,26.0,Male,South,4.0
663,CUST1663,56.0,Male,North,1.0
664,CUST1664,43.0,Male,,3.0
665,CUST1665,43.0,Female,South,3.0
666,CUST1666,35.0,Female,,5.0
667,CUST1667,59.0,Female,North,3.0
668,CUST1668,64.0,Female,South,1.0
