CustomerID,Age,Gender,Region,SatisfactionScore,Comments
CUST1052,24.0,Female,South,3.0,
CUST1053,25.0,Female,North,3.0,
CUST1054,27.0,Male,South,-1.0,
CUST1055,22.0,Male,South,2.0,
CUST1056,34.0,Male,North,4.0,Great service!
CUST1057,,Female,?,4.0,Average
CUST1058,42.0,Female,Unknown,3.0,
CUST1059,66.0,Male,North,2.0,nan
CUST1060,68.0,Female,?,2.0,nan
CUST1061,29.0,Male,East,1.0,Average
CUST1062,19.0,Male,North,2.0,Great service!
CUST1063,53.0,Female,North,4.0,nan
CUST1064,66.0,Male,East,4.0,
CUST1065,49.0,Female,nan,3.0,Will come again
CUST1066,42.0,Female,East,1.0,nan
CUST1067,54.0,Male,East,3.0,Great service!
CUST1068,37.0,Male,South,1.0,
CUST1069,61.0,Male,East,3.0,nan
CUST1070,36.0,Female,South,3.0,Average
CUST1071,27.0,Male,North,1.0,
CUST1072,60.0,Female,East,4.0,Not satisfied
CUST1073,56.0,Female,nan,2.0,
CUST1074,31.0,Female,North,1.0,
CUST1075,31.0,Female,East,-1.0,nan
CUST1076,54.0,Male,East,3.0,Great service!
CUST1077,53.0,Male,South,4.0,
CUST1078,23.0,Female,North,4.0,
CUST1079,,Male,North,3.0,Average
CUST1080,53.0,Male,East,4.0,
CUST1081,35.0,Female,South,4.0,Not satisfied
CUST1082,68.0,Unknown,Unknown,5.0,Average
CUST1083,19.0,Female,East,4.0,
CUST1084,39.0,Male,North,5.0,
CUST1085,63.0,Unknown,East,3.0,
CUST1086,69.0,Male,North,4.0,
CUST1087,51.0,Male,North,4.0,
CUST1088,34.0,Female,Unknown,3.0,Not satisfied
CUST1089,47.0,Female,East,-1.0,
CUST1090,69.0,Female,South,2.0,
CUST1091,45.0,Unknown,North,4.0,
CUST1092,56.0,Female,North,-1.0,Not satisfied
CUST1093,57.0,nan,North,2.0,Not satisfied
CUST1094,22.0,Female,South,3.0,Great service!
CUST1095,63.0,Male,North,2.0,
CUST1096,34.0,Female,South,4.0,
CUST1097,56.0,Male,nan,1.0,Average
CUST1098,27.0,Male,nan,5.0,
CUST1099,64.0,Female,South,3.0,Will come again
CUST1100,28.0,Male,South,3.0,Not satisfied
CUST1101,65.0,Female,?,,
CUST1102,67.0,Female,North,3.0,
CUST1103,24.0,Male,North,4.0,Will come again
CUST1104,51.0,Female,nan,2.0,
CUST1105,40.0,Male,nan,1.0,Average
CUST1106,64.0,Female,South,4.0,
CUST1107,37.0,Male,North,2.0,
CUST1108,20.0,nan,North,2.0,Not satisfied
CUST1109,38.0,Female,North,3.0,
CUST1110,,Male,East,4.0,Average
CUST1111,58.0,Male,North,-1.0,
CUST1112,31.0,Male,Unknown,1.0,
CUST1113,56.0,Unknown,North,1.0,Average
CUST1114,48.0,Male,East,3.0,Will come again
CUST1115,61.0,Female,South,3.0,
CUST1116,18.0,Female,Unknown,2.0,Not satisfied
CUST1117,19.0,Male,North,5.0,Great service!
CUST1118,42.0,nan,South,4.0,Not satisfied
CUST1119,45.0,Unknown,North,3.0,
CUST1120,47.0,Male,East,4.0,
CUST1121,36.0,Female,North,,Will come again
CUST1122,22.0,Male,East,1.0,Average
CUST1123,44.0,Female,Unknown,3.0,
CUST1124,37.0,Female,South,1.0,Average
CUST1125,54.0,Female,East,2.0,
CUST1126,48.0,Male,Unknown,4.0,Average
CUST1127,23.0,Female,East,1.0,
CUST1128,20.0,Unknown,South,5.0,
CUST1129,55.0,Female,East,1.0,
CUST1130,59.0,nan,North,-1.0,
CUST1131,47.0,Male,South,1.0,
CUST1132,26.0,Male,East,,Not satisfied
CUST1133,62.0,Male,Unknown,1.0,Not satisfied
CUST1134,27.0,Female,North,3.0,
CUST1135,60.0,Male,North,-1.0,Average
CUST1136,28.0,Female,East,3.0,
CUST1137,39.0,Female,North,-1.0,
CUST1138,53.0,Unknown,Unknown,3.0,
CUST1139,23.0,Female,South,2.0,nan
CUST1140,59.0,nan,Unknown,3.0,Not satisfied
CUST1141,56.0,Male,Unknown,4.0,Will come again
CUST1142,23.0,Male,South,3.0,Great service!
CUST1143,21.0,Male,South,2.0,
CUST1144,26.0,Male,nan,3.0,nan
CUST1145,59.0,Male,North,1.0,
CUST1146,22.0,Female,North,2.0,Average
CUST1147,19.0,Female,East,4.0,
CUST1148,61.0,Female,East,3.0,Average
CUST1149,40.0,Male,North,5.0,
CUST1150,28.0,Male,North,4.0,nan
CUST1151,22.0,Male,East,2.0,Will come again
CUST1152,22.0,Female,North,5.0,
CUST1153,60.0,Female,South,3.0,
CUST1154,37.0,Male,East,1.0,Not satisfied
CUST1155,23.0,Male,North,3.0,nan
CUST1156,52.0,Male,South,4.0,Will come again
CUST1157,18.0,Male,East,4.0,
CUST1158,41.0,Male,North,3.0,
CUST1159,23.0,Female,?,1.0,
CUST1160,69.0,Male,?,3.0,nan
CUST1161,60.0,Unknown,South,3.0,
CUST1162,,Female,Unknown,3.0,
CUST1163,45.0,nan,South,1.0,Average
CUST1164,57.0,Male,East,5.0,Average
CUST1165,26.0,Female,South,4.0,nan
CUST1166,19.0,Male,East,3.0,
CUST1167,63.0,Male,North,1.0,
CUST1168,27.0,Female,South,3.0,
CUST1169,54.0,Female,South,4.0,
CUST1170,64.0,Female,East,2.0,Great service!
CUST1171,51.0,Female,North,2.0,Will come again
CUST1172,29.0,Female,North,2.0,
CUST1173,28.0,Male,?,4.0,Great service!
CUST1174,32.0,Male,North,2.0,Great service!
CUST1175,30.0,Female,South,2.0,Not satisfied
CUST1176,38.0,Female,North,4.0,
CUST1177,19.0,Male,East,3.0,
CUST1178,27.0,Female,North,1.0,Will come again
CUST1179,34.0,Male,North,3.0,Great service!
CUST1180,32.0,Male,East,3.0,
CUST1181,23.0,Female,East,5.0,Will come again
CUST1182,55.0,nan,North,3.0,
CUST1183,22.0,Male,East,2.0,
CUST1184,22.0,Unknown,North,1.0,
CUST1185,58.0,Female,North,,Not satisfied
CUST1186,,Female,East,3.0,
CUST1187,52.0,nan,South,1.0,
CUST1188,61.0,Male,South,4.0,
CUST1189,50.0,Female,North,2.0,Great service!
CUST1190,60.0,nan,Unknown,3.0,Will come again
CUST1191,63.0,Male,South,3.0,
CUST1192,,Female,North,3.0,Great service!
CUST1193,22.0,Female,North,,
CUST1194,36.0,Male,South,4.0,
CUST1195,55.0,Female,South,1.0,
CUST1196,50.0,Female,South,5.0,
CUST1197,64.0,Male,North,3.0,Not satisfied
CUST1198,18.0,Male,South,1.0,Not satisfied
CUST1199,63.0,Male,South,4.0,
CUST1200,59.0,Female,East,,
CUST1201,28.0,nan,East,5.0,Great service!
CUST1202,34.0,Male,East,4.0,Will come again
CUST1203,47.0,Female,South,,
CUST1204,56.0,Male,North,2.0,Average
CUST1205,46.0,Female,South,5.0,Great service!
CUST1206,47.0,Female,South,3.0,Great service!
CUST1207,39.0,Female,nan,3.0,Great service!
CUST1208,24.0,Unknown,South,-1.0,nan
CUST1209,18.0,Female,nan,1.0,Average
CUST1210,24.0,Male,East,1.0,
CUST1211,40.0,Female,South,3.0,Average
CUST1212,,Male,South,1.0,Will come again
CUST1213,31.0,Male,South,3.0,Not satisfied
CUST1214,39.0,Male,North,3.0,Great service!
CUST1215,39.0,Female,nan,4.0,Not satisfied
CUST1216,,Female,East,5.0,
CUST1217,21.0,Male,East,4.0,Not satisfied
CUST1218,51.0,Female,South,1.0,
CUST1219,56.0,Male,North,2.0,
CUST1220,63.0,Female,?,1.0,Will come again
CUST1221,33.0,Male,East,3.0,
CUST1222,63.0,Female,North,5.0,
CUST1223,41.0,Female,South,,
CUST1224,41.0,Female,East,1.0,
CUST1225,36.0,Female,North,4.0,
CUST1226,61.0,Male,East,5.0,
CUST1227,42.0,Male,East,3.0,Great service!
CUST1228,61.0,Male,East,2.0,Average
CUST1229,36.0,Female,East,2.0,Average
CUST1230,32.0,Female,East,1.0,Great service!
CUST1231,33.0,Female,South,-1.0,nan
CUST1232,45.0,Female,North,4.0,Not satisfied
CUST1233,33.0,Unknown,East,4.0,Average
CUST1234,44.0,Male,?,1.0,
CUST1235,33.0,Male,South,3.0,Average
CUST1236,58.0,Male,East,3.0,
CUST1237,,Female,North,1.0,
CUST1238,41.0,Male,Unknown,-1.0,
CUST1239,66.0,Female,East,5.0,Average
CUST1240,20.0,Male,North,3.0,Will come again
CUST1241,22.0,nan,nan,2.0,
CUST1242,,Female,South,3.0,
CUST1243,,Male,North,2.0,Will come again
CUST1244,58.0,Male,North,4.0,Not satisfied
CUST1245,49.0,Male,North,2.0,
CUST1246,36.0,Male,South,3.0,Average
CUST1247,61.0,Male,North,3.0,nan
CUST1248,36.0,Female,South,4.0,Not satisfied
CUST1249,39.0,Female,Unknown,1.0,
CUST1250,31.0,Male,North,1.0,Not satisfied
CUST1251,67.0,Female,North,2.0,
CUST1252,57.0,Female,South,1.0,
CUST1253,68.0,Female,North,1.0,Will come again
CUST1254,24.0,nan,North,1.0,nan
CUST1255,66.0,Female,South,-1.0,Average
CUST1256,54.0,Female,nan,1.0,Average
CUST1257,37.0,Male,East,2.0,
CUST1258,38.0,Male,North,,nan
CUST1259,23.0,Male,South,3.0,
CUST1260,23.0,Female,North,2.0,
CUST1261,36.0,Male,East,5.0,Average
CUST1262,60.0,Male,East,2.0,Great service!
CUST1263,63.0,Male,South,2.0,Average
CUST1264,50.0,Male,?,1.0,Average
CUST1265,,Male,North,3.0,
CUST1266,36.0,Female,North,3.0,
CUST1267,55.0,Male,East,3.0,
CUST1268,18.0,Male,North,4.0,
CUST1269,26.0,Male,East,3.0,Great service!
CUST1270,41.0,Male,North,4.0,
CUST1271,64.0,Female,East,1.0,
CUST1272,59.0,Female,South,1.0,
CUST1273,21.0,Female,East,3.0,
CUST1274,66.0,Female,East,2.0,
CUST1275,52.0,Male,East,3.0,Great service!
CUST1276,41.0,Female,North,3.0,
CUST1277,38.0,Male,East,5.0,
CUST1278,61.0,Female,East,5.0,
CUST1279,68.0,Female,East,4.0,
CUST1280,22.0,Male,South,,nan
CUST1281,40.0,Unknown,?,3.0,
CUST1282,31.0,Female,South,2.0,Average
CUST1283,62.0,Unknown,East,5.0,
CUST1284,26.0,Female,South,2.0,
CUST1285,69.0,Female,North,3.0,
CUST1286,43.0,Male,South,-1.0,
CUST1287,62.0,Male,East,4.0,
CUST1288,62.0,Male,South,3.0,
CUST1289,26.0,Female,North,5.0,nan
CUST1290,46.0,nan,North,3.0,
CUST1291,32.0,Male,North,1.0,
CUST1292,,Female,?,3.0,Will come again
CUST1293,62.0,Male,North,2.0,Great service!
CUST1294,32.0,Female,North,4.0,Not satisfied
CUST1295,56.0,Male,Unknown,4.0,
CUST1296,27.0,Male,East,4.0,Average
CUST1297,53.0,Male,South,1.0,Will come again
CUST1298,32.0,Female,East,3.0,
CUST1299,28.0,nan,South,-1.0,Average
CUST1300,24.0,Male,South,1.0,Will come again
CUST1301,37.0,Male,North,-1.0,Will come again
CUST1302,48.0,Female,North,5.0,Not satisfied
CUST1303,20.0,Male,nan,3.0,Not satisfied
CUST1304,28.0,Female,South,1.0,
CUST1305,48.0,Female,North,,
CUST1306,68.0,Male,North,4.0,
CUST1307,29.0,Male,East,3.0,
CUST1308,47.0,Male,South,4.0,
CUST1309,58.0,Female,North,3.0,
CUST1310,35.0,Male,South,4.0,nan
CUST1311,18.0,Female,North,2.0,Average
CUST1312,55.0,Male,East,4.0,
CUST1313,68.0,Female,South,,
CUST1314,64.0,Male,East,2.0,Not satisfied
CUST1315,65.0,Male,East,2.0,Great service!
CUST1316,49.0,Male,North,,
CUST1317,39.0,Male,East,2.0,Not satisfied
CUST1318,18.0,Female,nan,2.0,
CUST1319,36.0,Male,North,-1.0,
CUST1320,31.0,Male,East,4.0,Will come again
CUST1321,57.0,Male,North,2.0,
CUST1322,59.0,Female,South,2.0,Average
CUST1323,47.0,Female,Unknown,4.0,nan
CUST1324,19.0,Female,North,4.0,
CUST1325,69.0,Female,East,4.0,nan
CUST1326,65.0,Male,North,3.0,
CUST1327,62.0,Female,East,1.0,Not satisfied
CUST1328,50.0,Female,North,3.0,Will come again
CUST1329,66.0,Female,South,-1.0,
CUST1330,60.0,Unknown,South,5.0,
CUST1331,52.0,Female,North,3.0,
CUST1332,49.0,nan,North,1.0,Average
CUST1333,,Female,North,2.0,Great service!
CUST1334,25.0,nan,East,1.0,
CUST1335,22.0,Male,North,3.0,
CUST1336,61.0,Female,South,1.0,Not satisfied
CUST1337,23.0,Male,East,5.0,Will come again
CUST1338,52.0,Female,North,2.0,Not satisfied
CUST1339,32.0,Female,East,,
CUST1340,42.0,Male,Unknown,4.0,Not satisfied
CUST1341,51.0,Female,North,1.0,Not satisfied
CUST1342,51.0,Female,?,2.0,nan
CUST1343,25.0,Unknown,East,5.0,
CUST1344,33.0,Female,North,1.0,Will come again
CUST1345,24.0,Male,South,1.0,
CUST1346,63.0,Male,East,5.0,
CUST1347,29.0,Male,East,2.0,
CUST1348,49.0,Male,East,4.0,
CUST1349,26.0,Female,?,3.0,Not satisfied
CUST1350,39.0,Female,East,2.0,
CUST1351,31.0,Female,East,4.0,Will come again
CUST1352,30.0,Male,North,2.0,Not satisfied
CUST1353,28.0,Female,East,3.0,Great service!
CUST1354,42.0,Female,South,1.0,
CUST1355,64.0,Male,East,2.0,
CUST1356,66.0,Male,East,4.0,
CUST1357,50.0,Female,?,-1.0,
CUST1358,33.0,Female,North,-1.0,
CUST1359,19.0,Female,nan,,Will come again
CUST1360,42.0,Male,North,1.0,Not satisfied
CUST1361,24.0,Female,North,3.0,Will come again
CUST1362,,Male,Unknown,1.0,
CUST1363,30.0,Unknown,East,-1.0,Not satisfied
CUST1364,47.0,Male,South,3.0,Not satisfied
CUST1365,,Male,?,4.0,
CUST1366,31.0,Female,?,2.0,
CUST1367,59.0,Female,North,,
CUST1368,36.0,Female,?,,
CUST1369,,Male,?,2.0,Average
CUST1370,47.0,Male,East,4.0,Average
CUST1371,55.0,Male,South,3.0,
CUST1372,29.0,Female,Unknown,3.0,Average
CUST1373,46.0,Female,East,1.0,
CUST1374,51.0,Female,nan,1.0,Average
CUST1375,56.0,Female,East,3.0,
CUST1376,60.0,Female,South,2.0,
CUST1377,62.0,Female,North,2.0,Great service!
CUST1378,67.0,Male,nan,-1.0,Will come again
CUST1379,29.0,Female,East,2.0,
CUST1380,43.0,Female,East,3.0,
CUST1381,33.0,Female,East,4.0,
CUST1382,55.0,Male,South,5.0,
CUST1383,37.0,Female,nan,4.0,
CUST1384,56.0,Female,Unknown,3.0,Will come again
CUST1385,39.0,Male,East,1.0,
CUST1386,57.0,Female,East,-1.0,
CUST1387,23.0,Male,East,3.0,Average
CUST1388,48.0,Male,North,4.0,Not satisfied
CUST1389,28.0,Unknown,South,3.0,
CUST1390,28.0,Female,East,1.0,nan
CUST1391,68.0,Male,Unknown,2.0,
CUST1392,69.0,Male,East,1.0,
CUST1393,,Female,North,1.0,
CUST1394,,Female,North,1.0,
CUST1395,60.0,Female,South,,
CUST1396,55.0,Female,East,1.0,Will come again
CUST1397,,Female,North,5.0,
CUST1398,40.0,Male,South,3.0,Will come again
CUST1399,52.0,Unknown,South,1.0,Will come again
CUST1400,36.0,Male,nan,2.0,
CUST1401,32.0,Male,South,2.0,
CUST1402,64.0,Female,North,3.0,Will come again
CUST1403,46.0,Female,nan,3.0,Not satisfied
CUST1404,24.0,Male,North,4.0,
CUST1405,20.0,Male,North,-1.0,
CUST1406,49.0,Male,East,4.0,nan
CUST1407,26.0,Female,East,2.0,
CUST1408,39.0,Male,North,3.0,
CUST1409,35.0,Male,East,2.0,
CUST1410,34.0,Male,South,4.0,Average
CUST1411,,Male,North,3.0,nan
CUST1412,25.0,Male,East,1.0,
CUST1413,24.0,Male,East,1.0,
CUST1414,57.0,Female,nan,3.0,
CUST1415,54.0,Male,North,-1.0,
CUST1416,36.0,Female,nan,5.0,
CUST1417,41.0,Male,nan,2.0,Will come again
CUST1418,37.0,Female,South,4.0,Average
CUST1419,56.0,Male,East,-1.0,
CUST1420,18.0,Female,South,-1.0,Will come again
CUST1421,18.0,Male,North,3.0,
CUST1422,51.0,nan,North,5.0,Not satisfied
CUST1423,65.0,Male,Unknown,5.0,nan
CUST1424,28.0,Male,Unknown,-1.0,Will come again
CUST1425,29.0,Female,North,3.0,
CUST1426,40.0,Male,South,4.0,Not satisfied
CUST1427,,nan,South,5.0,nan
CUST1428,42.0,Female,North,1.0,
CUST1429,63.0,Male,North,5.0,
CUST1430,34.0,Male,nan,3.0,nan
CUST1431,45.0,nan,South,3.0,Great service!
CUST1432,21.0,Male,North,4.0,Will come again
CUST1433,19.0,Female,North,3.0,nan
CUST1434,23.0,Female,East,2.0,
CUST1435,41.0,Female,?,3.0,Not satisfied
CUST1436,19.0,Male,South,2.0,
CUST1437,26.0,Male,South,,Will come again
CUST1438,59.0,Female,South,4.0,Great service!
CUST1439,25.0,Male,Unknown,2.0,
CUST1440,28.0,Male,South,2.0,
CUST1441,62.0,Male,North,4.0,Will come again
CUST1442,69.0,Male,South,3.0,
CUST1443,62.0,Male,?,,
CUST1444,53.0,Female,North,1.0,Will come again
CUST1445,56.0,Male,South,3.0,
CUST1446,32.0,Female,South,4.0,
CUST1447,48.0,Female,South,5.0,nan
CUST1448,59.0,Male,South,1.0,
CUST1449,34.0,Male,South,3.0,
CUST1450,40.0,Male,North,2.0,nan
CUST1451,23.0,nan,North,5.0,
CUST1452,56.0,Female,North,3.0,
CUST1453,53.0,Female,North,2.0,
CUST1454,18.0,Male,Unknown,-1.0,Will come again
CUST1455,59.0,Male,?,4.0,Not satisfied
CUST1456,18.0,Male,South,2.0,Not satisfied
CUST1457,41.0,Male,North,1.0,nan
CUST1458,63.0,Female,North,3.0,
CUST1459,38.0,Male,East,2.0,
CUST1460,26.0,Female,North,2.0,
CUST1461,63.0,Female,North,3.0,
CUST1462,19.0,Male,North,5.0,Not satisfied
CUST1463,58.0,Unknown,South,4.0,Great service!
CUST1464,29.0,Unknown,South,5.0,
CUST1465,30.0,Female,East,,Great service!
CUST1466,33.0,Female,South,,
CUST1467,55.0,Female,South,2.0,nan
CUST1468,38.0,Male,South,5.0,Will come again
CUST1469,39.0,Male,?,3.0,
CUST1470,61.0,Female,North,4.0,Will come again
CUST1471,67.0,Female,North,1.0,Average
CUST1472,27.0,Male,South,2.0,nan
CUST1473,29.0,Male,East,2.0,Will come again
CUST1474,60.0,Female,North,4.0,Will come again
CUST1475,53.0,Female,East,-1.0,Not satisfied
CUST1476,46.0,Female,South,-1.0,
CUST1477,21.0,Female,East,5.0,nan
CUST1478,54.0,Male,North,4.0,
CUST1479,22.0,Female,South,2.0,
CUST1480,36.0,Male,?,5.0,Will come again
CUST1481,53.0,Female,South,4.0,
CUST1482,39.0,Female,South,2.0,
CUST1483,60.0,Male,North,1.0,
CUST1484,19.0,Female,North,1.0,Will come again
CUST1485,38.0,Male,?,1.0,
CUST1486,62.0,Female,South,,Average
CUST1487,30.0,Female,South,2.0,Great service!
CUST1488,57.0,Unknown,South,4.0,nan
CUST1489,,nan,South,2.0,Will come again
CUST1490,50.0,Male,South,5.0,
CUST1491,35.0,nan,South,4.0,Not satisfied
CUST1492,43.0,Male,South,1.0,Not satisfied
CUST1493,68.0,Male,East,1.0,Not satisfied
CUST1494,24.0,Male,North,-1.0,
CUST1495,37.0,Male,North,3.0,
CUST1496,39.0,Female,Unknown,2.0,Not satisfied
CUST1497,,Female,East,1.0,Will come again
CUST1498,61.0,Male,East,4.0,Average
CUST1499,36.0,Male,?,3.0,Not satisfied
CUST1500,54.0,Male,South,1.0,Average
CUST1501,37.0,Female,East,4.0,
CUST1502,37.0,Female,South,5.0,
CUST1503,53.0,Male,North,3.0,
CUST1504,43.0,Male,North,3.0,Average
CUST1505,41.0,Female,South,-1.0,Will come again
CUST1506,69.0,Female,?,3.0,Great service!
CUST1507,43.0,Unknown,South,3.0,
CUST1508,57.0,Male,South,5.0,Not satisfied
CUST1509,25.0,Male,South,2.0,Great service!
CUST1510,57.0,Female,South,3.0,
CUST1511,35.0,Male,South,5.0,Great service!
CUST1512,49.0,Male,?,-1.0,Will come again
CUST1513,23.0,Male,East,3.0,
CUST1514,56.0,Male,South,4.0,
CUST1515,29.0,Female,East,4.0,Not satisfied
CUST1516,57.0,Male,South,2.0,Will come again
CUST1517,24.0,nan,Unknown,5.0,Will come again
CUST1518,58.0,Male,East,5.0,
CUST1519,69.0,Male,South,3.0,Not satisfied
CUST1520,36.0,Female,South,4.0,nan
CUST1521,27.0,Male,East,1.0,Will come again
CUST1522,68.0,Female,East,-1.0,
CUST1523,38.0,Female,East,4.0,Average
CUST1524,58.0,Female,Unknown,5.0,Great service!
CUST1525,30.0,Male,North,2.0,
CUST1526,68.0,Male,?,2.0,
CUST1527,63.0,Female,Unknown,3.0,Will come again
CUST1528,,Female,North,4.0,
CUST1529,30.0,Female,nan,,
CUST1530,68.0,Unknown,nan,5.0,Average
CUST1531,25.0,Male,South,2.0,
CUST1532,44.0,Male,North,4.0,
CUST1533,19.0,nan,East,1.0,
CUST1534,43.0,Female,South,4.0,
CUST1535,56.0,Male,South,3.0,nan
CUST1536,42.0,Female,East,4.0,Average
CUST1537,22.0,Female,Unknown,3.0,
CUST1538,39.0,Female,East,2.0,Great service!
CUST1539,20.0,Female,South,3.0,nan
CUST1540,21.0,Unknown,North,1.0,
CUST1541,41.0,Female,East,3.0,
CUST1542,53.0,Female,South,4.0,nan
CUST1543,57.0,Male,East,5.0,
CUST1544,26.0,Male,?,5.0,Not satisfied
CUST1545,37.0,Female,South,4.0,Not satisfied
CUST1546,46.0,Male,South,3.0,Average
CUST1547,45.0,Male,North,2.0,Will come again
CUST1548,39.0,Male,North,3.0,
CUST1549,19.0,Male,South,5.0,Will come again
CUST1550,52.0,Male,East,2.0,
CUST1551,60.0,Male,South,3.0,
CUST1552,55.0,Male,North,4.0,
CUST1553,69.0,Male,East,2.0,Will come again
CUST1554,42.0,Male,South,3.0,
CUST1555,19.0,Female,East,1.0,Great service!
CUST1556,36.0,Female,East,4.0,Average
CUST1557,41.0,nan,South,4.0,nan
CUST1558,36.0,Male,North,4.0,
CUST1559,59.0,Male,South,2.0,
CUST1560,38.0,Female,East,4.0,
CUST1561,64.0,Male,East,3.0,Not satisfied
CUST1562,51.0,Male,South,2.0,
CUST1563,32.0,Male,?,2.0,
CUST1564,20.0,Female,South,3.0,
CUST1565,31.0,Male,North,2.0,
CUST1566,39.0,Male,South,3.0,Not satisfied
CUST1567,46.0,Female,East,3.0,
CUST1568,,Female,South,3.0,
CUST1569,18.0,Female,South,5.0,
CUST1570,62.0,Female,North,3.0,
CUST1571,64.0,Female,East,3.0,
CUST1572,61.0,Male,North,3.0,Will come again
CUST1573,56.0,Male,North,1.0,Will come again
CUST1574,25.0,Male,North,-1.0,
CUST1575,19.0,Female,East,1.0,Average
CUST1576,61.0,Female,South,1.0,
CUST1577,,Female,?,2.0,Not satisfied
CUST1578,18.0,Female,East,-1.0,Will come again
CUST1579,60.0,Female,South,3.0,Great service!
CUST1580,53.0,Male,South,3.0,
CUST1581,50.0,Female,East,4.0,
CUST1582,31.0,Male,South,,Not satisfied
CUST1583,20.0,Male,East,2.0,nan
CUST1584,46.0,Male,?,-1.0,Will come again
CUST1585,63.0,Male,North,-1.0,
CUST1586,35.0,Male,South,1.0,
CUST1587,21.0,Female,South,3.0,Not satisfied
CUST1588,23.0,Female,South,2.0,
CUST1589,46.0,Male,South,,
CUST1590,48.0,Female,North,2.0,Great service!
CUST1591,18.0,Male,South,3.0,Average
CUST1592,63.0,Female,?,,Not satisfied
CUST1593,69.0,Female,nan,3.0,nan
CUST1594,50.0,Male,East,1.0,Great service!
CUST1595,20.0,Female,South,5.0,
CUST1596,67.0,Female,North,3.0,Will come again
CUST1597,42.0,Female,South,4.0,Average
CUST1598,55.0,Female,Unknown,4.0,Great service!
CUST1599,35.0,Female,East,1.0,
CUST1600,27.0,Male,East,5.0,Great service!
CUST1601,64.0,Female,South,4.0,Not satisfied
CUST1602,26.0,Male,North,3.0,
CUST1603,30.0,Female,East,1.0,
CUST1604,22.0,Male,South,5.0,Not satisfied
CUST1605,69.0,Female,nan,5.0,
CUST1606,43.0,Male,nan,1.0,Average
CUST1607,20.0,Female,South,3.0,Great service!
CUST1608,20.0,Male,North,1.0,
CUST1609,39.0,Female,North,1.0,
CUST1610,60.0,Male,nan,2.0,
CUST1611,62.0,Female,East,2.0,nan
CUST1612,54.0,Male,South,3.0,
CUST1613,22.0,Female,East,,Great service!
CUST1614,30.0,Female,South,3.0,
CUST1615,51.0,Male,North,2.0,Great service!
CUST1616,,Female,South,5.0,Not satisfied
CUST1617,46.0,Female,South,3.0,Average
CUST1618,56.0,Male,North,4.0,Average
CUST1619,20.0,Female,North,5.0,
CUST1620,21.0,Unknown,North,4.0,
CUST1621,26.0,Male,South,4.0,
CUST1622,34.0,Male,East,3.0,Average
CUST1623,29.0,Unknown,nan,3.0,
CUST1624,52.0,Unknown,North,3.0,Will come again
CUST1625,24.0,nan,North,3.0,
CUST1626,36.0,Female,South,4.0,Average
CUST1627,46.0,Female,nan,1.0,
CUST1628,55.0,Male,North,2.0,Average
CUST1629,21.0,Male,South,4.0,Will come again
CUST1630,22.0,Female,North,1.0,
CUST1631,31.0,Unknown,East,3.0,
CUST1632,20.0,Male,East,3.0,
CUST1633,19.0,Male,North,5.0,Not satisfied
CUST1634,21.0,Female,East,4.0,nan
